iter	Logloss
0	0.6070438052
1	0.5380388565
2	0.4793447687
3	0.4514013198
4	0.409010556
5	0.3599313961
6	0.3346655832
7	0.304798815
8	0.2880175246
9	0.2751696905
10	0.2609031995
11	0.2310435639
12	0.2156179084
13	0.1991114749
14	0.1850159963
15	0.1749839915
16	0.1716212167
17	0.1632852422
18	0.1534300115
19	0.1437858608
20	0.1368708611
21	0.1301879485
22	0.1197241876
23	0.1143920488
24	0.1088614795
25	0.1028481722
26	0.09742804368
27	0.09087126785
28	0.08774586519
29	0.08230948448
30	0.07912664943
